Trade Date,Market Code,Transaction Type,Instrument Code,Comments,Quantity,Price,Amount
13/07/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00574642,50.095,0.2878668
13/07/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.08660542,59.83,5.18160244
13/07/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.02511236,89.7947,2.25495662
13/07/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.01105264,61.64,0.68128477
13/07/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00286178,100.59,0.2878668
13/07/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.01999075,19.2,0.3838224
13/07/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00091679,565.19,0.51816026
14/07/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00120623,50.095,0.06042622
14/07/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.01809469,60.11,1.08767203
14/07/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.00529699,89.36,0.47333875
14/07/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.00233484,61.25,0.14300873
14/07/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00060282,100.24,0.06042623
14/07/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.00420942,19.14,0.0805683
14/07/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00019377,561.31,0.10876723
15/07/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00341653,59.48,0.20321528
21/07/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01545582,50.11,0.77449092
21/07/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.12288835,61.2,7.52076714
21/07/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.08872785,88.98,7.89500436
21/07/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.02096445,62.24,1.30482708
21/07/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00679994,99.77,0.67843002
21/07/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.04935065,19.1,0.94259748
21/07/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00156237,573.85,0.89656826
04/08/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01904762,50.085,0.954
04/08/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.06829604,63.3126,4.324
04/08/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.1389723,86.7511,12.056
04/08/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.01570468,63.93,1.004
04/08/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00469989,102.13,0.48
04/08/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.04566116,19.36,0.884
04/08/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00049838,597.94,0.29800002
17/08/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00031546,64.48,0.02034082
18/08/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01196888,50.13,0.6
18/08/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.1674938,64.48,10.8
18/08/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.0543227,86.52,4.7
